App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,5.0 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,5.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,2.3.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,5.1 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,3.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,5.1 and up
,,,,,,,,,,,,,2.3.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.2 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.2 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.2 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,6.0 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,4.4 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,4.0.3 and up
,,,,,,,,,,,,,2.3 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.0 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,4.3 and up
,,,,,,,,,,,,,4.1 and up
,,,,,,,,,,,,,5.0 and up
,,,,,,,,,,,,,Varies with device
,,,,,,,,,,,,,2.3.3 and up
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
